ID,team,pick,score,score_diff,name
1,The Hot Rods IV,9,1.60,-82.36,Austin Collie
2,Fenris,9,138.90,54.94,Lance Moore
3,The Giant,9,54.90,-29.06,DeAngelo Williams
4,Svingets Superheroes,9,118.00,34.04,San Francisco 49ers
5,Showstoppers,9,34.10,-49.86,Kevin Smith
6,Nordvest Annihilators,9,125.20,41.24,Anquan Boldin
7,Red Nation,9,232.54,148.58,Robert Griffin III
8,Feta Chargers,9,28.40,-55.56,Rashard Mendenhall
9,Team America,9,95.00,11.04,Kenny Britt
10,Mean,9,83.96,0.00,Round 9
0,Herlev Tech,10,104.38,-7.90,Joe Flacco
1,The Hot Rods IV,10,192.50,80.22,Andrew Luck
2,Fenris,10,198.06,85.78,Andy Dalton
3,The Giant,10,170.90,58.62,Matt Schaub
4,Svingets Superheroes,10,16.70,-95.58,Greg Little
5,Showstoppers,10,91.60,-20.68,Darrius Heyward-Bey
6,Nordvest Annihilators,10,55.00,-57.28,Green Bay Packers
7,Red Nation,10,110.80,-1.48,Jermaine Gresham
8,Feta Chargers,10,6.70,-105.58,Roy Helu
9,Team America,10,176.20,63.92,Tony Gonzalez
10,Mean,10,112.28,0.00,Round 10
0,Herlev Tech,11,15.20,-57.79,Robert Meachem
1,The Hot Rods IV,11,174.20,101.21,C.J. Spiller
2,Fenris,11,6.30,-66.69,Doug Baldwin
3,The Giant,11,72.40,-0.59,Isaac Redman
4,Svingets Superheroes,11,1.50,-71.49,Mark Ingram
5,Showstoppers,11,137.50,64.51,Michael Crabtree
6,Nordvest Annihilators,11,12.90,-60.09,Mario Manningham
7,Red Nation,11,131.90,58.91,Denarius Moore
8,Feta Chargers,11,53.16,-19.83,Alex Smith
9,Team America,11,124.80,51.81,Mikel Leshoure
10,Mean,11,72.99,0.00,Round 11
0,Herlev Tech,12,118.00,30.89,Seattle Seahawks
1,The Hot Rods IV,12,30.20,-56.91,Jacob Tamme
2,Fenris,12,167.00,79.89,Chicago Bears
3,The Giant,12,113.00,25.89,Baltimore Ravens
4,Svingets Superheroes,12,22.80,-64.31,Randy Moss
5,Showstoppers,12,137.00,49.89,New England Patriots
6,Nordvest Annihilators,12,133.10,45.99,Owen Daniels
7,Red Nation,12,23.00,-64.11,Philadelphia Eagles
8,Feta Chargers,12,14.00,-73.11,Detroit Lions
9,Team America,12,113.00,25.89,Houston Texans
10,Mean,12,87.11,0.00,Round 12
0,Herlev Tech,13,101.30,44.44,Kyle Rudolph
1,The Hot Rods IV,13,34.00,-22.86,New York Jets
2,Fenris,13,98.20,41.34,Jared Cook
3,The Giant,13,130.62,73.76,Mike Williams
4,Svingets Superheroes,13,0.00,-56.86,Toby Gerhart
5,Showstoppers,13,16.10,-40.76,Evan Royster
6,Nordvest Annihilators,13,20.90,-35.96,Ronnie Brown
7,Red Nation,13,44.80,-12.06,Michael Bush
8,Feta Chargers,13,3.30,-53.56,Dustin Keller
9,Team America,13,119.40,62.54,Danny Amendola
10,Mean,13,56.86,0.00,Round 13
0,Herlev Tech,14,35.40,-25.29,Rashad Jennings
1,The Hot Rods IV,14,11.60,-49.09,Laurent Robinson
2,Fenris,14,30.00,-30.69,Dan Bailey
3,The Giant,14,90.00,29.31,David Akers
4,Svingets Superheroes,14,93.22,32.53,Russell Wilson
5,Showstoppers,14,75.00,14.31,Mason Crosby
6,Nordvest Annihilators,14,41.68,-19.01,Jay Cutler
7,Red Nation,14,54.00,-6.69,Sebastian Janikowski
